Month,PSEUDO_mean,CALMAR_mean,ACALON_mean,CENABD_mean,OITSIM_mean,ACATON_mean,CALPAC_mean,CALSTY_mean,CALTENU_mean,CLASO_mean,CORANG_mean,CTNCAL_mean,MESOCALTEN_mean,PARA_mean,CLAPER_mean,CLAARC_mean,CLAPAR_mean,CLAPAU_mean,CLALIV_mean,CLAUSO_SUM_mean
1,0.5304592,0.3790228,0.4124672,0.1193785,0.16078201,0.3976507,0.320401,0.26930001,0.36945687,0.34023727,0.4837639,0.1886187,0.3529916,0.1665234,0.1910191,0.396533,0.45332631,0.35222104,0.14598742,0.26453563
2,0.4711947,0.4444258,0.4177455,0.3770106,0.13312234,0.41042,0.38624,0.39154965,0.40489942,0.46869563,0.4655748,0.1496541,0.3509187,0.1346936,0.3019733,0.3933152,0.42430825,0.1362469,0.30416822,0.43798474
3,0.4927064,0.5150008,0.4604893,0.4266936,0.1499546,0.4244612,0.4196405,0.36208132,0.33177491,0.40363563,0.570686,0.3843599,0.3370186,0.280868,0.4123645,0.3989301,0.32532382,0.29210191,0.25186754,0.2213316
4,0.4821709,0.4739897,0.5114823,0.5169334,0.09753096,0.4484838,0.5321075,0.33669433,0.30431679,0.34785421,0.5736884,0.3108077,0.3095501,0.3705317,0.2705932,0.4091028,0.27544027,0.11559464,0.10958879,0.07750568
5,0.4564876,0.4574908,0.4487974,0.4378489,0.13472502,0.3911627,0.4387527,0.28386791,0.15077984,0.29916105,0.5459209,0.4960286,0.2302941,0.4710729,0.3625575,0.305415,0.27741106,0,0,0.65218358
6,0.2807555,0.3229531,0.502961,0.4246352,0.11013489,0.4664373,0.4548066,0.15464693,0,0.07413178,0.512135,0.4307411,0.1888143,0.5045899,0.2926397,0.2237488,0.0670848,0.07823005,0.05705031,0.34939941
7,0.2548549,0.2262535,0.2146012,0.3558184,0.1574504,0.4036392,0.4198768,0,0.04597447,0.04161865,0.4428879,0.3635757,0.1262489,0.4710166,0.2201398,0.1838131,0.03501553,0,0,NA
8,0.1614782,0.20018,0.1522234,0.4208262,0.13639843,0.4418186,0.486956,0.05747454,0,0.04057942,0.4120648,0.3637397,0.1751288,0.5169926,0.1362071,0.2046258,0.03446285,0,0,0
9,0.1586654,0.3724646,0.1785587,0.4174614,0.10319719,0.5123473,0.5027318,0.15385078,0.03281087,0.16696617,0.4769976,0.4027868,0.2089573,0.3661282,0.2192694,0.1762336,0.16952311,0.04574375,0.03002086,NA
10,0.2581592,0.3910988,0.2972711,0.3939932,0.12065661,0.5375668,0.4926822,0.20434564,0.07817338,0.29934045,0.5884283,0.43702,0.2602113,0.1966544,0.2720643,0.2908144,0.21061551,0,0,0.30024518
11,0.4267789,0.3732575,0.4646204,0.3521008,0.36319574,0.5591436,0.3761529,0.36963187,0.27122679,0.36803708,0.4441974,0.4194788,0.3503797,0.3157905,0.4318861,0.418594,0.34901093,0,0.22190168,0.3796542
12,0.3952707,0.3908002,0.4199183,0.2647702,0.20999183,0.4707476,0.4239638,0.3793463,0.2563007,0.48610244,0.4116609,0.310348,0.3870901,0.1959807,0.3807347,0.3904797,0.42254211,0.39933115,0.15218032,0.33673128
