"","MDS1","MDS2","Spp_col"
"Eucalanus",-0.581388172009413,-0.362295905566997,"grey50"
"A.hudsoni",0.48296696192962,-0.17576369050642,"grey50"
"Pseudocalanus",0.213825496045677,0.0857646198642927,"purple3"
"O.similis",0.0609174150275915,0.0587102473476011,"grey50"
"Ct.vanus",-0.557891674430123,0.0789429811358865,"orange2"
"Cp.abdominalis",0.429684634971809,-0.225598131642617,"purple3"
"C.pacificus",-0.45223297397158,-0.167479032085002,"orange2"
"C.marshallae",0.368745392518086,0.0636851955774041,"purple3"
"A.tonsa",-0.325651441499665,-0.503300189521384,"orange2"
"A.longiremis",0.361087155787782,-0.0778136684644554,"purple3"
"Paracalanus",-0.172401432129371,-0.0473858596812739,"orange2"
"O.spinirostris",0.0438161983353841,-0.180007051025193,"grey50"
"Metridia",-0.164792783488363,0.00946833430815704,"grey50"
"Scolecithricella",0.534707012815371,-0.02428219395167,"grey50"
"Oncaea",-0.345937673834998,-0.367973227684072,"grey50"
"M.pusillus",0.375458211027202,-0.170215696790701,"grey50"
"Sc.minor",0.238861162806244,-0.260775863468277,"grey50"
"T.discaudatus",0.163738691389064,-0.237871519291658,"grey50"
"Ep.longipedata",0.218759705206891,-0.106120145333964,"grey50"
"Cr.anglicus",-0.525988537849953,-0.298308936773203,"orange2"
"Clausocalanus",-0.78873776566396,0.251536282876886,"orange2"
"Cl.pergens",-0.62543079298572,0.35310916553842,"grey50"
"Co.tenuis",-0.435912697698577,0.144342912933805,"orange2"
"Co.styliremis",-0.788672294516894,0.420469491796091,"orange2"
"A.danae",-0.810207787021876,0.361500192530237,"grey50"
"Cl.arcuicornis",-0.722962382815148,0.241464633658433,"orange2"
"Cl.parapergens",-0.816692863526815,0.138249317969957,"grey50"
"M.tenuicornis",-1.07006518178649,0.279933425542982,"orange2"
"N.plumchrus",-0.436434486325144,0.933468162050907,"grey50"
"Microsetella",-0.528221317226164,-0.657884945515895,"grey50"
"Lucicutia",-0.266642235824906,0.0639188726027137,"grey50"
"Cl.paululus",-1.11972773979283,0.435664714122594,"grey50"
"Cd.bipinnata",-1.0314248003627,0.0214520005886963,"grey50"
"Cl.lividus",-1.11850653078909,0.0128084587713265,"grey50"
"Co.pavo",-1.12550273881705,0.0601350200646113,"grey50"
"Co.pavon",-1.48963471906197,-0.236855356233751,"grey50"
