"","MDS1","MDS2","MDS3","Spp_col"
"Eucalanus",-0.593966771188867,-0.414224950273395,0.0465840032053764,"grey50"
"A.hudsoni",0.499704246672594,-0.191408850448856,-0.0316395785201324,"grey50"
"Pseudocalanus",0.218500230468985,0.0908343151119069,-0.0400677873314629,"purple3"
"O.similis",0.0621950638362823,0.0578091524147557,-0.0286080923812362,"grey50"
"Ct.vanus",-0.573197106950916,0.0752757764749653,0.0810709521468722,"orange2"
"Cp.abdominalis",0.445459126651993,-0.213724024096517,0.0221150179062322,"purple3"
"C.pacificus",-0.466449420691585,-0.181361152889367,-0.172637930496862,"orange2"
"C.marshallae",0.378318147357025,0.0708741495721455,0.066625383825165,"purple3"
"A.tonsa",-0.338429501549099,-0.529110386857484,-0.344998840597373,"orange2"
"A.longiremis",0.370745005588148,-0.0734872929025342,-0.0731564752459459,"purple3"
"Paracalanus",-0.174934744423991,-0.0500682659128143,-0.161317734661376,"orange2"
"O.spinirostris",0.0430032343612666,-0.19506491140999,0.466145749890043,"grey50"
"Metridia",-0.174022335713234,0.00595634961534135,0.33220876984657,"grey50"
"Scolecithricella",0.550179365513585,-0.0366732356147345,0.520034808569569,"grey50"
"Oncaea",-0.350276143682387,-0.400494074997584,0.513599338450263,"grey50"
"M.pusillus",0.380688067819893,-0.133997501779048,0.601509052788481,"grey50"
"Sc.minor",0.242270330735748,-0.292517742523862,0.67223156157775,"grey50"
"T.discaudatus",0.169008795669993,-0.232752057758695,-0.136099737547566,"grey50"
"Ep.longipedata",0.222051353457444,-0.168378027600402,-0.688217893398617,"grey50"
"Cr.anglicus",-0.538493428117029,-0.281071128906298,-0.129496631269447,"orange2"
"Clausocalanus",-0.805702663596386,0.2416613588425,-0.160092818446961,"orange2"
"Cl.pergens",-0.643551206504973,0.341946793237435,0.0291651877229981,"grey50"
"Co.tenuis",-0.449129088231679,0.143354756263278,0.228537918076418,"orange2"
"Co.styliremis",-0.811779187865216,0.39442427235729,0.108385931468656,"orange2"
"A.danae",-0.836323885874202,0.319676095893137,-0.0515197164399004,"grey50"
"Cl.arcuicornis",-0.744185179047858,0.234134385676513,0.0880421147580804,"orange2"
"Cl.parapergens",-0.839570612111342,0.134153054065009,-0.0392318825385386,"grey50"
"M.tenuicornis",-1.09542179472802,0.252734562672356,0.0752582371625885,"orange2"
"N.plumchrus",-0.446094510250437,0.972682002019234,-0.135265300094931,"grey50"
"Microsetella",-0.537892599053122,-0.628708177293837,0.0173759194541862,"grey50"
"Lucicutia",-0.277867721016481,0.00237276758081984,0.0267896860556071,"grey50"
"Cl.paululus",-1.13891528038541,0.462747496262237,0.320366445560275,"grey50"
"Cd.bipinnata",-1.05281813170186,-0.00817481983224884,0.511589976139142,"grey50"
"Cl.lividus",-1.14442350612416,-0.0667415650057108,-0.193348572791938,"grey50"
"Co.pavo",-1.12794434526033,0.0593731411064466,0.354781139888487,"grey50"
"Co.pavon",-1.51742384285368,-0.349573927506294,0.0992603418392626,"grey50"
