Year,Spr_YrDy,Fal_YrDy
1967,NaN,NaN
1968,NaN,NaN
1969,NaN,NaN
1970,NaN,NaN
1971,NaN,NaN
1972,NaN,NaN
1973,NaN,NaN
1974,NaN,NaN
1975,NaN,NaN
1976,NaN,NaN
1977,NaN,NaN
1978,NaN,NaN
1979,NaN,NaN
1980,NaN,NaN
1981,NaN,NaN
1982,NaN,NaN
1983,NaN,NaN
1984,NaN,NaN
1985,NaN,NaN
1986,NaN,NaN
1987,NaN,NaN
1988,NaN,NaN
1989,NaN,NaN
1990,NaN,NaN
1991,NaN,NaN
1992,NaN,NaN
1993,NaN,NaN
1994,NaN,NaN
1995,NaN,NaN
1996,NaN,NaN
1997,126,232
1998,73,274
1999,91,292
2000,149,280
2001,137,283
2002,107,308
2003,118,279
2004,131,290
2005,142,272
2006,108,306
2007,125,312
2008,122,306
2009,136,285
2010,146,258
2011,107,254
2012,123,286
2013,99,258
2014,130,280
2015,103,278
2016,87,274
2017,118,290
2018,117,294
2019,108,318
2020,140,314
